class_id,class_term,class_name,grade_name,class_year
657,2013-2014-1,高二(01),高二,2013-2014
658,2013-2014-1,高二(02),高二,2013-2014
659,2013-2014-1,高二(03),高二,2013-2014
660,2013-2014-1,高二(04),高二,2013-2014
661,2013-2014-2,高二(05),高二,2013-2014
662,2013-2014-2,高二(06),高二,2013-2014
663,2013-2014-2,高二(07),高二,2013-2014
664,2013-2014-2,高二(08),高二,2013-2014
665,2013-2014-2,高二(09),高二,2013-2014
666,2013-2014-1,高二(10),高二,2013-2014
667,2013-2014-2,高二(11),高二,2013-2014
668,2013-2014-2,高二(13),高二,2013-2014
669,2013-2014-2,高三(01),高三,2013-2014
670,2013-2014-2,高三(04),高三,2013-2014
671,2013-2014-2,高三(02),高三,2013-2014
672,2013-2014-2,高三(09),高三,2013-2014
673,2013-2014-1,高三(12),高三,2013-2014
674,2013-2014-1,高三(08),高三,2013-2014
675,2013-2014-1,高三(05),高三,2013-2014
676,2013-2014-2,高三(03),高三,2013-2014
677,2013-2014-2,高三(10),高三,2013-2014
678,2013-2014-2,高三(07),高三,2013-2014
679,2013-2014-2,高三(06),高三,2013-2014
680,2013-2014-2,高三(11),高三,2013-2014
681,2013-2014-2,高一(01),高一,2013-2014
682,2013-2014-2,高一(02),高一,2013-2014
683,2013-2014-1,高一(03),高一,2013-2014
684,2013-2014-2,高一(04),高一,2013-2014
685,2013-2014-1,高一(05),高一,2013-2014
686,2013-2014-2,高一(06),高一,2013-2014
687,2013-2014-2,高一(07),高一,2013-2014
689,2013-2014-2,高一(08),高一,2013-2014
691,2013-2014-1,高一(09),高一,2013-2014
692,2013-2014-1,高一(10),高一,2013-2014
693,2013-2014-1,高一(11),高一,2013-2014
694,2013-2014-2,高一(12),高一,2013-2014
708,2014-2015-1,高二(02),高二,2014-2015
709,2014-2015-1,高二(03),高二,2014-2015
710,2014-2015-1,高二(04),高二,2014-2015
711,2014-2015-1,高二(05),高二,2014-2015
712,2014-2015-1,高二(06),高二,2014-2015
713,2014-2015-1,高二(07),高二,2014-2015
714,2014-2015-1,高二(08),高二,2014-2015
715,2014-2015-2,高二(13),高二,2014-2015
716,2014-2015-1,高二(09),高二,2014-2015
717,2014-2015-1,高二(10),高二,2014-2015
718,2014-2015-1,高二(11),高二,2014-2015
719,2014-2015-1,高二(01),高二,2014-2015
720,2014-2015-1,高三(12) ,高三,2014-2015
721,2014-2015-1,高三(04),高三,2014-2015
722,2014-2015-1,高三(08),高三,2014-2015
723,2014-2015-1,高三(09),高三,2014-2015
724,2014-2015-2,高三(13),高三,2014-2015
725,2014-2015-1,高三(01),高三,2014-2015
726,2014-2015-1,高三(05),高三,2014-2015
727,2014-2015-1,高三(02),高三,2014-2015
728,2014-2015-1,高三(06),高三,2014-2015
729,2014-2015-1,高三(10),高三,2014-2015
730,2014-2015-1,高三(03),高三,2014-2015
731,2014-2015-1,高三(07),高三,2014-2015
732,2014-2015-1,高三(11),高三,2014-2015
733,2014-2015-1,高一(01),高一,2014-2015
734,2014-2015-1,高一(02),高一,2014-2015
735,2014-2015-1,高一(03),高一,2014-2015
736,2014-2015-1,高一(04),高一,2014-2015
737,2014-2015-1,高一(05),高一,2014-2015
738,2014-2015-1,高一(06),高一,2014-2015
739,2014-2015-1,高一(07),高一,2014-2015
740,2014-2015-1,高一(08),高一,2014-2015
741,2014-2015-1,高一(09),高一,2014-2015
742,2014-2015-1,高一(10),高一,2014-2015
743,2014-2015-2,高一(11),高一,2014-2015
744,2014-2015-2,初三IB班,unknow,2014-2015
757,2015-2016-1,高二(01),高二,2015-2016
758,2015-2016-1,高二(02),高二,2015-2016
759,2015-2016-1,高二(03),高二,2015-2016
760,2015-2016-1,高二(08),高二,2015-2016
761,2015-2016-1,高二(09),高二,2015-2016
762,2015-2016-1,高二(10),高二,2015-2016
763,2015-2016-1,高二(11),高二,2015-2016
764,2015-2016-1,高二(04),高二,2015-2016
765,2015-2016-1,高二(05),高二,2015-2016
