id,name,term,type_id,date_time
221,2013年第1学期考查课总评,2013-2014-1,18,2013/12/15 00:00:00
222,2013-2014年第一学期期末考试,2013-2014-1,3,2014/1/18 00:00:00
223,2013-2014年第一学期高三市统测,2013-2014-1,9,2014/1/18 00:00:00
224,2013-2014年第一学期期末总评,2013-2014-1,5,2014/1/18 00:00:00
225,2014年宁波市高三“十校联考”,2013-2014-2,7,2014/3/18 00:00:00
226,2013-2014年宁波市高三第二次市统考,2013-2014-2,9,2014/4/16 00:00:00
227,2013-2014第二学期期中考试,2013-2014-2,2,2014/4/21 00:00:00
228,2013-2014第二次五校联考,2013-2014-2,6,2014/5/4 00:00:00
229,2013-2014年高三体育总评,2013-2014-2,18,2014/5/14 00:00:00
230,2013-2014学年第二学期高三模拟考,2013-2014-2,9,2014/5/23 00:00:00
231,2013-2014学年第2学期末考查课总评,2013-2014-2,5,2014/6/23 00:00:00
232,2013-2014年第二学期期末总评,2013-2014-2,5,2014/6/20 00:00:00
233,2013-2014年第二学期期末考试,2013-2014-2,3,2014/6/20 00:00:00
234,2014学年度第一学期期中考试,2014-2015-1,2,2014/11/17 00:00:00
235,2014学年度第一学期高三测试,2014-2015-1,9,2014/11/27 00:00:00
236,2014学年五校联考第一次考试,2014-2015-1,6,2014/12/15 00:00:00
237,2014年第1学期考查课总评,2014-2015-1,18,2015/1/12 00:00:00
238,2014-2015年第一学期期末考试,2014-2015-1,3,2015/1/31 00:00:00
239,2014-2015年第一学期期末总评,2014-2015-1,5,2015/1/31 00:00:00
240,2015年宁波市高三十校联考,2014-2015-2,7,2015/3/23 00:00:00
241,宁波市2015年高考模拟考试（第二次）,2014-2015-2,9,2015/4/22 00:00:00
242,2014-2015年第二学期期中考试,2014-2015-2,2,2015/4/27 00:00:00
243,2015年高三第二次五校联考,2014-2015-2,6,2015/5/4 00:00:00
244,2014年第2学期高三考查课总评,2014-2015-2,18,2015/5/7 00:00:00
245,2015年高三校模拟考,2014-2015-2,9,2015/5/25 00:00:00
246,2014年第2学期高一、高二考查课总评,2014-2015-2,18,2015/6/19 00:00:00
247,2014-2015年第二学期期末考试,2014-2015-2,3,2015/6/24 00:00:00
248,2014-2015年第二学期期末总评,2014-2015-2,5,2015/6/24 00:00:00
249,2015学年度第一学期期始考,2015-2016-1,19,2015/8/30 00:00:00
250,2015学年第一学期期中考试,2015-2016-1,2,2015/11/2 00:00:00
251,2016届高三第一次五校联考,2015-2016-1,9,2015/12/17 00:00:00
252,2015学年第一学期期末考查课总评,2015-2016-1,5,2016/1/12 00:00:00
253,2015学年第一学期期末考试,2015-2016-1,3,2016/1/23 00:00:00
254,2015年第一学期期末总评,2015-2016-1,5,2016/1/23 00:00:00
255,2016届宁波高三“十校”联考,2015-2016-2,7,2016/3/24 00:00:00
256,2016届宁波市高三模拟考,2015-2016-2,9,2016/4/21 00:00:00
257,2015学年度第二学期期中考试,2015-2016-2,2,2016/4/25 00:00:00
258,2016届高三第二次五校联考,2015-2016-2,6,2016/5/3 00:00:00
259,2015学年度高三考查课总评,2015-2016-2,5,2016/5/10 00:00:00
260,2016届宁波效实中学高三校模拟考,2015-2016-2,9,2016/5/25 00:00:00
261,2015学年度第二学期考查课总评,2015-2016-2,5,2016/6/8 00:00:00
